日期,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
098/01/04,71 小番茄 ㄧ般,41.5,26.0,15.6,27.0,2104
098/01/06,71 小番茄 ㄧ般,35.0,25.4,15.3,25.3,2712
098/01/07,71 小番茄 ㄧ般,29.7,19.8,13.5,20.5,2975
098/01/08,71 小番茄 ㄧ般,27.3,20.3,13.8,20.4,2412
098/01/09,71 小番茄 ㄧ般,24.6,18.3,11.1,18.1,1576
098/01/10,71 小番茄 ㄧ般,33.5,22.7,16.7,23.7,1560
098/01/11,71 小番茄 ㄧ般,35.7,19.5,14.3,21.7,1260
098/01/13,71 小番茄 ㄧ般,29.1,19.9,14.3,20.6,2412
098/01/14,71 小番茄 ㄧ般,26.2,19.2,12.7,19.3,2744
098/01/15,71 小番茄 ㄧ般,27.7,17.5,11.5,18.3,3328
098/01/16,71 小番茄 ㄧ般,28.9,14.4,11.7,16.7,4454
098/01/17,71 小番茄 ㄧ般,26.1,13.9,11.4,15.9,3116
098/01/18,71 小番茄 ㄧ般,30.4,15.5,11.4,17.7,2750
098/01/20,71 小番茄 ㄧ般,35.8,19.3,13.5,21.4,2226
098/01/21,71 小番茄 ㄧ般,44.5,24.6,14.7,26.6,2284
098/01/22,71 小番茄 ㄧ般,46.0,28.3,13.8,29.0,2810
098/01/23,71 小番茄 ㄧ般,58.1,34.5,15.9,35.5,912
098/01/24,71 小番茄 ㄧ般,43.0,27.7,11.4,27.5,6374
098/01/25,71 小番茄 ㄧ般,14.4,7.7,4.7,8.4,4424
098/01/31,71 小番茄 ㄧ般,20.8,15.4,8.8,15.2,6440
098/02/01,71 小番茄 ㄧ般,18.3,11.7,6.4,12.0,5380
098/02/03,71 小番茄 ㄧ般,17.2,8.4,4.7,9.4,6450
098/02/04,71 小番茄 ㄧ般,15.0,9.8,5.0,9.9,2942
098/02/05,71 小番茄 ㄧ般,15.1,11.5,5.2,10.9,2452
098/02/06,71 小番茄 ㄧ般,12.4,10.0,6.0,9.7,1856
098/02/07,71 小番茄 ㄧ般,15.6,12.2,7.0,11.9,1998
098/02/08,71 小番茄 ㄧ般,15.1,12.4,6.9,11.8,2514
098/02/09,71 小番茄 ㄧ般,13.8,11.0,8.5,11.1,2424
098/02/12,71 小番茄 ㄧ般,13.8,9.6,8.0,10.1,6208
098/02/13,71 小番茄 ㄧ般,13.7,10.2,7.8,10.4,8986
098/02/14,71 小番茄 ㄧ般,16.7,13.1,8.6,12.9,3968
098/02/15,71 小番茄 ㄧ般,14.3,10.3,6.7,10.4,5418
098/02/17,71 小番茄 ㄧ般,13.9,11.0,5.2,10.4,5214
098/02/18,71 小番茄 ㄧ般,12.2,8.7,6.2,8.9,5054
098/02/19,71 小番茄 ㄧ般,12.9,9.0,6.9,9.4,4228
098/02/20,71 小番茄 ㄧ般,12.0,8.5,6.8,8.9,3600
098/02/21,71 小番茄 ㄧ般,17.4,13.1,8.1,13.0,2605
098/02/22,71 小番茄 ㄧ般,16.0,12.8,8.1,12.5,4214
098/02/24,71 小番茄 ㄧ般,15.5,12.6,8.7,12.4,3940
098/02/25,71 小番茄 ㄧ般,16.5,12.1,6.6,11.9,4758
098/02/26,71 小番茄 ㄧ般,17.8,12.2,6.1,12.1,4124
098/02/27,71 小番茄 ㄧ般,15.4,10.0,5.7,10.2,4818
098/02/28,71 小番茄 ㄧ般,17.6,11.8,6.7,12.0,4530
098/03/01,71 小番茄 ㄧ般,14.3,11.6,8.0,11.4,5350
098/03/03,71 小番茄 ㄧ般,13.8,10.8,6.0,10.5,4966
098/03/04,71 小番茄 ㄧ般,15.9,10.8,5.5,10.8,6978
098/03/05,71 小番茄 ㄧ般,14.7,9.1,6.0,9.6,6324
098/03/06,71 小番茄 ㄧ般,16.0,11.4,8.9,11.9,4624
098/03/07,71 小番茄 ㄧ般,14.9,9.7,7.0,10.2,3570
098/03/08,71 小番茄 ㄧ般,10.2,8.7,6.3,8.5,1400
098/03/10,71 小番茄 ㄧ般,20.5,10.4,7.9,11.9,2728
098/03/11,71 小番茄 ㄧ般,24.0,11.8,8.0,13.5,3396
098/03/12,71 小番茄 ㄧ般,21.2,12.5,10.0,13.8,2952
098/03/13,71 小番茄 ㄧ般,21.3,14.4,11.7,15.2,3592
098/03/14,71 小番茄 ㄧ般,22.6,13.2,10.4,14.5,4434
098/03/15,71 小番茄 ㄧ般,20.0,12.3,9.6,13.3,4255
098/03/17,71 小番茄 ㄧ般,23.2,13.1,10.4,14.6,4453
098/03/18,71 小番茄 ㄧ般,22.4,12.4,10.2,13.9,4068
098/03/19,71 小番茄 ㄧ般,21.5,12.5,9.9,13.8,3707
098/03/20,71 小番茄 ㄧ般,24.0,13.3,8.9,14.6,3440
098/03/21,71 小番茄 ㄧ般,19.9,12.4,8.8,13.2,4136
098/03/22,71 小番茄 ㄧ般,17.0,12.1,8.5,12.4,4570
098/03/24,71 小番茄 ㄧ般,18.1,11.8,8.9,12.5,4925
098/03/25,71 小番茄 ㄧ般,16.2,10.1,7.5,10.8,4799
098/03/26,71 小番茄 ㄧ般,15.7,10.6,6.9,10.9,5390
098/03/27,71 小番茄 ㄧ般,13.9,9.4,8.0,10.0,4212
098/03/28,71 小番茄 ㄧ般,14.7,9.4,7.6,10.1,4258
098/03/29,71 小番茄 ㄧ般,12.6,8.8,5.8,9.0,2874
098/03/31,71 小番茄 ㄧ般,13.2,9.1,5.6,9.2,3531
098/04/01,71 小番茄 ㄧ般,11.6,9.1,6.5,9.1,4276
098/04/02,71 小番茄 ㄧ般,14.2,9.9,6.0,10.0,3252
098/04/03,71 小番茄 ㄧ般,15.2,10.5,7.3,10.8,4132
098/04/07,71 小番茄 ㄧ般,13.3,9.7,7.4,9.9,6132
098/04/08,71 小番茄 ㄧ般,11.8,8.2,4.6,8.2,5682
098/04/09,71 小番茄 ㄧ般,13.5,6.8,4.1,7.6,3738
098/04/10,71 小番茄 ㄧ般,12.0,10.2,7.7,10.1,1906
098/04/11,71 小番茄 ㄧ般,14.2,9.6,7.0,10.0,2788
098/04/12,71 小番茄 ㄧ般,12.6,10.0,8.0,10.1,3233
098/04/14,71 小番茄 ㄧ般,15.9,10.9,9.9,11.7,3174
098/04/15,71 小番茄 ㄧ般,13.4,10.2,7.8,10.4,2720
098/04/16,71 小番茄 ㄧ般,16.5,10.0,7.9,10.9,3306
098/04/17,71 小番茄 ㄧ般,18.7,12.2,9.7,13.0,1394
098/04/18,71 小番茄 ㄧ般,23.5,15.8,9.6,16.1,794
098/04/19,71 小番茄 ㄧ般,26.5,13.4,9.9,15.3,1866
098/04/21,71 小番茄 ㄧ般,27.9,17.5,12.0,18.5,2845
098/04/22,71 小番茄 ㄧ般,24.8,16.8,13.3,17.7,1856
098/04/23,71 小番茄 ㄧ般,24.2,17.2,13.9,17.9,1057
098/04/24,71 小番茄 ㄧ般,20.4,14.9,11.0,15.2,812
098/04/25,71 小番茄 ㄧ般,25.7,14.8,10.6,16.1,988
098/04/26,71 小番茄 ㄧ般,21.6,15.1,14.9,16.4,802
098/04/28,71 小番茄 ㄧ般,23.5,15.4,13.6,16.6,834
098/04/29,71 小番茄 ㄧ般,31.5,16.7,15.0,19.3,1102
098/04/30,71 小番茄 ㄧ般,25.3,15.0,11.8,16.4,985
098/05/01,71 小番茄 ㄧ般,30.6,17.9,14.7,19.8,1262
098/05/02,71 小番茄 ㄧ般,27.7,16.1,14.3,18.1,1318
098/05/03,71 小番茄 ㄧ般,20.6,15.0,12.4,15.6,928
098/05/05,71 小番茄 ㄧ般,30.4,16.8,12.5,18.7,1229
098/05/06,71 小番茄 ㄧ般,21.4,16.0,13.6,16.6,882
098/05/07,71 小番茄 ㄧ般,30.7,17.9,15.9,20.0,1343
098/05/08,71 小番茄 ㄧ般,20.0,17.5,14.4,17.4,1034
098/05/09,71 小番茄 ㄧ般,20.3,18.0,14.4,17.7,1109
098/05/10,71 小番茄 ㄧ般,39.0,19.5,14.6,22.4,1170
098/05/12,71 小番茄 ㄧ般,33.5,19.6,17.8,22.0,751
098/05/13,71 小番茄 ㄧ般,26.9,18.1,12.0,18.6,992
098/05/14,71 小番茄 ㄧ般,29.0,18.0,14.9,19.6,1195
098/05/15,71 小番茄 ㄧ般,31.1,17.5,14.6,19.6,1238
098/05/16,71 小番茄 ㄧ般,22.7,17.0,15.0,17.8,1248
098/05/17,71 小番茄 ㄧ般,29.0,16.7,11.3,18.1,856
098/05/19,71 小番茄 ㄧ般,23.7,16.5,10.9,16.8,1421
098/05/20,71 小番茄 ㄧ般,17.0,15.5,10.4,14.8,830
098/05/21,71 小番茄 ㄧ般,33.7,15.0,15.0,18.7,283
098/05/22,71 小番茄 ㄧ般,19.1,14.0,12.0,14.6,662
098/05/23,71 小番茄 ㄧ般,31.9,17.9,11.4,19.4,746
098/05/24,71 小番茄 ㄧ般,20.0,19.4,15.0,18.7,410
098/05/26,71 小番茄 ㄧ般,31.4,21.4,15.0,22.1,435
098/05/27,71 小番茄 ㄧ般,19.2,15.3,11.0,15.2,542
098/05/28,71 小番茄 ㄧ般,37.0,26.0,15.0,26.0,536
098/05/31,71 小番茄 ㄧ般,26.1,16.3,12.0,17.4,1161
098/06/02,71 小番茄 ㄧ般,22.4,16.1,12.1,16.6,1041
098/06/03,71 小番茄 ㄧ般,15.0,14.0,11.3,13.6,453
098/06/04,71 小番茄 ㄧ般,19.3,14.2,9.6,14.3,791
098/06/05,71 小番茄 ㄧ般,16.0,13.3,9.5,13.1,541
098/06/06,71 小番茄 ㄧ般,17.8,14.8,10.6,14.6,392
098/06/07,71 小番茄 ㄧ般,15.8,14.7,11.2,14.2,656
098/06/09,71 小番茄 ㄧ般,23.6,18.9,13.3,18.7,712
098/06/10,71 小番茄 ㄧ般,26.6,20.0,16.8,20.7,696
098/06/11,71 小番茄 ㄧ般,28.0,21.9,12.2,21.2,737
098/06/12,71 小番茄 ㄧ般,26.0,20.7,16.6,21.0,704
098/06/13,71 小番茄 ㄧ般,22.0,21.0,18.9,20.8,735
098/06/14,71 小番茄 ㄧ般,20.0,16.9,11.4,16.4,924
098/06/16,71 小番茄 ㄧ般,27.0,22.0,15.8,21.8,698
098/06/17,71 小番茄 ㄧ般,30.0,24.1,19.6,24.4,616
098/06/18,71 小番茄 ㄧ般,28.0,21.0,16.0,21.4,462
098/06/19,71 小番茄 ㄧ般,26.2,18.6,14.8,19.4,715
098/06/20,71 小番茄 ㄧ般,30.0,24.7,18.7,24.5,550
098/06/21,71 小番茄 ㄧ般,30.0,26.3,18.9,25.6,605
098/06/23,71 小番茄 ㄧ般,32.0,27.3,18.3,26.4,396
098/06/24,71 小番茄 ㄧ般,32.7,27.4,21.1,27.2,493
098/06/25,71 小番茄 ㄧ般,29.9,23.2,14.7,22.9,715
098/06/26,71 小番茄 ㄧ般,29.8,23.4,13.7,22.7,484
098/06/27,71 小番茄 ㄧ般,34.4,24.4,16.4,24.8,671
098/06/28,71 小番茄 ㄧ般,26.6,21.6,17.6,21.8,825
098/06/30,71 小番茄 ㄧ般,25.8,14.7,9.2,15.9,814
098/07/01,71 小番茄 ㄧ般,22.0,20.3,13.9,19.4,407
098/07/02,71 小番茄 ㄧ般,21.3,14.1,10.0,14.7,495
098/07/03,71 小番茄 ㄧ般,23.1,11.5,5.7,12.7,473
098/07/04,71 小番茄 ㄧ般,20.6,12.4,5.4,12.7,589
098/07/05,71 小番茄 ㄧ般,20.3,16.0,6.1,14.9,748
098/07/07,71 小番茄 ㄧ般,22.6,12.0,5.2,12.7,827
098/07/08,71 小番茄 ㄧ般,22.3,12.6,6.3,13.3,684
098/07/09,71 小番茄 ㄧ般,21.6,12.0,6.0,12.7,536
098/07/10,71 小番茄 ㄧ般,22.4,17.7,12.0,17.5,297
098/07/11,71 小番茄 ㄧ般,34.4,25.6,12.0,24.7,159
098/07/12,71 小番茄 ㄧ般,41.6,20.8,14.6,23.7,620
098/07/14,71 小番茄 ㄧ般,42.5,18.5,12.0,22.0,737
098/07/15,71 小番茄 ㄧ般,38.3,22.1,12.8,23.5,564
098/07/16,71 小番茄 ㄧ般,43.6,18.0,11.8,21.9,446
098/07/17,71 小番茄 ㄧ般,33.4,16.6,15.0,19.6,262
098/07/18,71 小番茄 ㄧ般,20.0,17.0,15.0,17.2,90
098/07/19,71 小番茄 ㄧ般,56.0,47.0,20.0,43.4,55
098/07/21,71 小番茄 ㄧ般,20.0,20.0,20.0,20.0,100
098/07/22,71 小番茄 ㄧ般,57.0,19.9,16.0,26.6,125
098/07/24,71 小番茄 ㄧ般,44.1,22.5,18.3,26.0,196
098/07/25,71 小番茄 ㄧ般,38.3,29.9,16.4,28.9,77
098/07/26,71 小番茄 ㄧ般,57.0,25.8,22.4,31.4,104
098/07/28,71 小番茄 ㄧ般,43.0,28.4,25.0,30.7,99
098/07/30,71 小番茄 ㄧ般,54.0,51.0,48.0,51.0,22
098/07/31,71 小番茄 ㄧ般,30.0,28.5,27.0,28.5,22
098/08/01,71 小番茄 ㄧ般,59.0,30.5,20.0,34.1,96
098/08/02,71 小番茄 ㄧ般,60.0,47.5,35.0,47.5,22
098/08/04,71 小番茄 ㄧ般,65.0,59.3,26.0,53.8,46
098/08/05,71 小番茄 ㄧ般,57.0,41.3,20.8,40.3,66
098/08/06,71 小番茄 ㄧ般,57.0,57.0,57.0,57.0,11
098/08/07,71 小番茄 ㄧ般,57.0,38.2,10.0,36.3,33
098/08/11,71 小番茄 ㄧ般,40.0,40.0,40.0,40.0,11
098/08/23,71 小番茄 ㄧ般,81.0,79.2,78.0,79.3,18
098/09/03,71 小番茄 ㄧ般,50.0,46.1,45.0,46.7,150
098/10/01,71 小番茄 ㄧ般,151.0,140.0,135.0,141.2,93
098/10/03,71 小番茄 ㄧ般,80.0,76.6,48.0,71.5,101
098/10/07,71 小番茄 ㄧ般,55.0,55.0,55.0,55.0,180
098/10/08,71 小番茄 ㄧ般,79.6,58.5,50.0,61.0,610
098/10/09,71 小番茄 ㄧ般,50.0,48.3,41.6,47.3,320
098/10/10,71 小番茄 ㄧ般,53.0,53.0,46.8,51.8,300
098/10/11,71 小番茄 ㄧ般,55.7,55.0,43.0,52.7,300
098/10/13,71 小番茄 ㄧ般,53.0,51.3,47.0,50.8,492
098/10/14,71 小番茄 ㄧ般,56.3,50.2,44.0,50.2,478
098/10/15,71 小番茄 ㄧ般,53.0,52.5,39.0,49.9,250
098/10/16,71 小番茄 ㄧ般,53.0,44.4,25.6,42.3,612
098/10/17,71 小番茄 ㄧ般,50.7,40.0,25.4,39.2,1190
098/10/18,71 小番茄 ㄧ般,46.0,40.6,25.1,38.6,645
098/10/20,71 小番茄 ㄧ般,50.1,37.1,29.2,38.1,1568
098/10/21,71 小番茄 ㄧ般,43.2,31.5,24.8,32.5,1233
098/10/22,71 小番茄 ㄧ般,54.5,37.2,26.9,38.6,1050
098/10/23,71 小番茄 ㄧ般,43.8,34.9,25.4,34.8,1434
098/10/24,71 小番茄 ㄧ般,43.7,37.7,23.8,36.1,708
098/10/25,71 小番茄 ㄧ般,50.4,38.1,24.9,37.9,912
098/10/27,71 小番茄 ㄧ般,42.8,35.3,29.6,35.7,1546
098/10/28,71 小番茄 ㄧ般,41.5,35.5,23.2,34.2,1029
098/10/29,71 小番茄 ㄧ般,63.0,40.5,31.8,43.2,922
098/10/30,71 小番茄 ㄧ般,39.9,30.8,21.5,30.7,946
098/10/31,71 小番茄 ㄧ般,47.9,38.5,29.5,38.6,1258
098/11/01,71 小番茄 ㄧ般,51.9,37.7,30.1,39.0,1530
098/11/03,71 小番茄 ㄧ般,51.9,37.4,29.4,38.7,1670
098/11/04,71 小番茄 ㄧ般,45.0,36.9,29.6,37.0,1352
098/11/05,71 小番茄 ㄧ般,42.8,35.6,29.3,35.8,1361
098/11/06,71 小番茄 ㄧ般,40.0,34.8,28.9,34.7,1362
098/11/07,71 小番茄 ㄧ般,43.4,33.4,28.9,34.5,2239
098/11/08,71 小番茄 ㄧ般,37.4,32.1,21.3,31.0,1798
098/11/10,71 小番茄 ㄧ般,42.6,36.8,31.8,36.9,2756
098/11/11,71 小番茄 ㄧ般,41.7,33.7,28.3,34.2,2710
098/11/12,71 小番茄 ㄧ般,40.4,31.9,27.5,32.7,3191
098/11/13,71 小番茄 ㄧ般,37.0,27.2,21.9,28.1,3684
098/11/14,71 小番茄 ㄧ般,33.8,24.7,14.5,24.5,3768
098/11/15,71 小番茄 ㄧ般,27.9,22.1,16.1,22.1,3067
098/11/17,71 小番茄 ㄧ般,33.1,21.0,11.8,21.6,2898
098/11/18,71 小番茄 ㄧ般,31.1,22.2,12.4,22.0,2878
098/11/19,71 小番茄 ㄧ般,30.2,22.0,12.4,21.7,2876
098/11/20,71 小番茄 ㄧ般,30.6,20.0,11.1,20.3,2830
098/11/21,71 小番茄 ㄧ般,31.6,26.3,14.5,25.0,2388
098/11/22,71 小番茄 ㄧ般,30.1,24.6,17.0,24.2,2507
098/11/24,71 小番茄 ㄧ般,30.1,24.7,16.4,24.1,3378
098/11/25,71 小番茄 ㄧ般,30.8,26.0,18.1,25.4,3768
098/11/26,71 小番茄 ㄧ般,30.8,23.0,13.3,22.6,3240
098/11/27,71 小番茄 ㄧ般,30.9,23.9,15.8,23.7,3006
098/11/28,71 小番茄 ㄧ般,25.8,20.6,16.0,20.7,2986
098/11/29,71 小番茄 ㄧ般,26.3,20.1,14.7,20.3,3546
098/12/01,71 小番茄 ㄧ般,30.0,26.0,18.8,25.4,3716
098/12/02,71 小番茄 ㄧ般,28.9,22.7,15.9,22.6,4534
098/12/03,71 小番茄 ㄧ般,28.4,24.7,19.9,24.5,5146
098/12/04,71 小番茄 ㄧ般,28.0,18.7,11.8,19.2,5496
098/12/05,71 小番茄 ㄧ般,27.8,19.6,14.9,20.3,5158
098/12/06,71 小番茄 ㄧ般,23.6,18.0,13.5,18.3,5222
098/12/08,71 小番茄 ㄧ般,26.7,21.5,14.8,21.2,5026
098/12/09,71 小番茄 ㄧ般,26.4,20.9,14.4,20.7,5040
098/12/10,71 小番茄 ㄧ般,26.0,18.5,14.2,19.1,5574
098/12/11,71 小番茄 ㄧ般,25.3,19.5,12.0,19.2,5432
098/12/12,71 小番茄 ㄧ般,25.2,19.6,12.9,19.4,5886
098/12/13,71 小番茄 ㄧ般,25.2,17.6,11.5,17.9,5746
098/12/15,71 小番茄 ㄧ般,22.7,17.4,11.1,17.2,4246
098/12/16,71 小番茄 ㄧ般,23.3,17.6,10.6,17.3,3654
098/12/17,71 小番茄 ㄧ般,21.4,15.9,7.2,15.3,4011
098/12/18,71 小番茄 ㄧ般,20.1,16.4,5.4,14.9,3496
098/12/19,71 小番茄 ㄧ般,15.2,11.1,5.9,10.9,2996
098/12/20,71 小番茄 ㄧ般,22.4,14.5,10.3,15.2,2257
098/12/22,71 小番茄 ㄧ般,22.0,15.5,13.1,16.3,3132
098/12/23,71 小番茄 ㄧ般,21.9,16.9,12.4,17.0,4014
098/12/24,71 小番茄 ㄧ般,21.2,16.6,10.7,16.4,5130
098/12/25,71 小番茄 ㄧ般,19.0,16.1,9.4,15.3,4466
098/12/26,71 小番茄 ㄧ般,19.5,16.4,9.3,15.6,4186
098/12/27,71 小番茄 ㄧ般,17.6,13.4,8.4,13.2,3806
098/12/29,71 小番茄 ㄧ般,20.2,19.3,9.0,17.4,3034
098/12/30,71 小番茄 ㄧ般,20.2,18.3,5.3,16.1,3316
098/12/31,71 小番茄 ㄧ般,20.9,11.7,7.5,12.7,2590
099/01/01,71 小番茄 ㄧ般,22.5,10.3,10.0,12.7,1888
099/01/02,71 小番茄 ㄧ般,23.1,10.4,10.0,12.8,2234
099/01/03,71 小番茄 ㄧ般,28.0,14.8,9.3,16.3,2730
099/01/05,71 小番茄 ㄧ般,24.7,13.0,9.5,14.6,3614
099/01/06,71 小番茄 ㄧ般,23.1,12.0,7.6,13.4,3428
099/01/07,71 小番茄 ㄧ般,20.7,15.8,11.3,15.9,2914
099/01/08,71 小番茄 ㄧ般,16.7,12.5,5.0,11.9,2888
099/01/09,71 小番茄 ㄧ般,20.4,12.7,5.3,12.8,1890
099/01/10,71 小番茄 ㄧ般,21.4,14.7,5.2,14.1,3553
099/01/12,71 小番茄 ㄧ般,20.6,15.1,10.8,15.3,3592
099/01/13,71 小番茄 ㄧ般,21.1,15.7,9.7,15.6,2964
099/01/14,71 小番茄 ㄧ般,20.3,15.1,7.4,14.6,2546
099/01/15,71 小番茄 ㄧ般,18.4,14.1,8.8,13.9,3254
099/01/16,71 小番茄 ㄧ般,18.5,13.6,5.7,13.0,3732
099/01/17,71 小番茄 ㄧ般,16.1,12.4,4.6,11.6,3290
099/01/19,71 小番茄 ㄧ般,17.5,13.4,5.5,12.7,2612
099/01/20,71 小番茄 ㄧ般,18.4,15.0,13.7,15.4,1868
099/01/21,71 小番茄 ㄧ般,19.5,14.6,5.4,13.7,3082
099/01/22,71 小番茄 ㄧ般,18.9,15.0,10.3,14.9,2658
099/01/23,71 小番茄 ㄧ般,19.2,15.0,11.9,15.2,3158
099/01/24,71 小番茄 ㄧ般,18.0,12.7,4.2,12.1,3024
099/01/26,71 小番茄 ㄧ般,18.0,12.0,5.7,11.9,3644
099/01/27,71 小番茄 ㄧ般,17.3,10.9,6.4,11.3,2800
099/01/28,71 小番茄 ㄧ般,17.7,9.6,3.2,9.9,3114
099/01/29,71 小番茄 ㄧ般,16.8,9.8,6.0,10.4,2910
099/01/30,71 小番茄 ㄧ般,13.8,10.0,7.6,10.3,2060
099/01/31,71 小番茄 ㄧ般,12.9,9.4,4.6,9.1,2920
099/02/02,71 小番茄 ㄧ般,12.9,10.0,9.9,10.6,2766
099/02/03,71 小番茄 ㄧ般,15.5,10.2,9.1,11.1,3048
099/02/04,71 小番茄 ㄧ般,13.7,10.0,5.3,9.8,2180
099/02/05,71 小番茄 ㄧ般,14.8,8.9,3.0,8.9,1782
099/02/06,71 小番茄 ㄧ般,15.9,7.0,5.0,8.4,2142
099/02/07,71 小番茄 ㄧ般,16.0,10.9,7.0,11.1,1196
099/02/09,71 小番茄 ㄧ般,20.7,12.5,9.2,13.5,1582
099/02/10,71 小番茄 ㄧ般,23.3,12.6,6.6,13.5,1280
099/02/11,71 小番茄 ㄧ般,28.2,17.1,11.9,18.3,1324
099/02/12,71 小番茄 ㄧ般,30.2,11.5,6.1,14.2,1028
099/02/13,71 小番茄 ㄧ般,13.7,6.3,2.8,7.1,1352
099/02/19,71 小番茄 ㄧ般,15.4,12.2,9.1,12.2,840
099/02/20,71 小番茄 ㄧ般,20.0,12.2,12.0,13.7,768
099/02/21,71 小番茄 ㄧ般,24.3,12.0,12.0,14.5,1460
099/02/23,71 小番茄 ㄧ般,36.2,15.9,12.0,19.2,2096
099/02/24,71 小番茄 ㄧ般,27.0,20.0,19.6,21.3,1728
099/02/25,71 小番茄 ㄧ般,22.8,15.0,8.5,15.3,2052
099/02/26,71 小番茄 ㄧ般,21.6,15.0,7.5,14.8,1468
099/02/27,71 小番茄 ㄧ般,15.0,13.2,3.0,11.5,778
099/02/28,71 小番茄 ㄧ般,30.8,18.1,9.6,19.0,810
099/03/03,71 小番茄 ㄧ般,27.1,14.9,13.7,17.1,2464
099/03/04,71 小番茄 ㄧ般,28.9,15.9,11.5,17.6,2455
099/03/05,71 小番茄 ㄧ般,26.7,14.4,13.4,16.7,1928
099/03/06,71 小番茄 ㄧ般,24.4,14.0,13.2,15.9,2319
099/03/07,71 小番茄 ㄧ般,24.1,15.2,12.9,16.5,1726
099/03/09,71 小番茄 ㄧ般,18.0,14.1,12.8,14.6,2438
099/03/10,71 小番茄 ㄧ般,15.5,14.0,11.2,13.7,1388
099/03/11,71 小番茄 ㄧ般,22.0,15.3,12.0,16.0,546
099/03/12,71 小番茄 ㄧ般,22.4,14.0,13.6,15.6,2084
099/03/13,71 小番茄 ㄧ般,19.7,13.6,9.7,14.1,3258
099/03/14,71 小番茄 ㄧ般,24.2,14.4,10.2,15.5,2178
099/03/16,71 小番茄 ㄧ般,21.0,14.0,12.3,15.1,2730
099/03/17,71 小番茄 ㄧ般,19.1,14.0,14.0,15.0,1730
099/03/18,71 小番茄 ㄧ般,23.6,14.3,12.7,15.8,2356
099/03/19,71 小番茄 ㄧ般,16.7,14.0,12.7,14.3,1662
099/03/20,71 小番茄 ㄧ般,17.1,13.8,9.8,13.7,1366
099/03/21,71 小番茄 ㄧ般,18.3,12.6,9.6,13.1,1944
099/03/23,71 小番茄 ㄧ般,20.6,13.9,9.5,14.3,2230
099/03/24,71 小番茄 ㄧ般,17.7,12.1,11.8,13.2,1758
099/03/25,71 小番茄 ㄧ般,14.6,12.0,10.9,12.3,1702
099/03/26,71 小番茄 ㄧ般,15.1,12.0,11.4,12.5,644
099/03/27,71 小番茄 ㄧ般,18.0,13.2,11.0,13.7,736
099/03/28,71 小番茄 ㄧ般,15.2,11.5,8.0,11.5,1370
099/03/30,71 小番茄 ㄧ般,22.1,13.2,11.0,14.5,1400
099/03/31,71 小番茄 ㄧ般,27.8,13.9,11.6,16.2,1638
099/04/01,71 小番茄 ㄧ般,26.7,13.6,10.2,15.5,1728
099/04/02,71 小番茄 ㄧ般,23.6,12.2,10.9,14.2,2168
099/04/03,71 小番茄 ㄧ般,26.8,13.3,11.0,15.6,1486
099/04/04,71 小番茄 ㄧ般,27.9,12.9,9.8,15.3,1434
099/04/07,71 小番茄 ㄧ般,20.7,12.2,11.7,13.8,890
099/04/08,71 小番茄 ㄧ般,31.7,14.0,11.7,17.1,1366
099/04/09,71 小番茄 ㄧ般,33.4,16.2,11.8,18.7,983
099/04/10,71 小番茄 ㄧ般,33.0,17.0,12.0,19.2,552
099/04/11,71 小番茄 ㄧ般,34.4,13.4,9.4,16.8,816
099/04/13,71 小番茄 ㄧ般,24.0,18.7,15.7,19.1,1086
099/04/14,71 小番茄 ㄧ般,32.5,18.6,17.3,21.1,1018
099/04/15,71 小番茄 ㄧ般,46.1,22.3,18.0,26.2,696
099/04/16,71 小番茄 ㄧ般,49.5,22.8,18.0,27.2,658
099/04/17,71 小番茄 ㄧ般,50.2,31.6,16.5,32.3,892
099/04/18,71 小番茄 ㄧ般,62.2,38.5,20.0,39.5,1204
099/04/20,71 小番茄 ㄧ般,68.0,49.6,22.9,48.0,537
099/04/21,71 小番茄 ㄧ般,55.3,41.8,20.1,40.1,1088
099/04/22,71 小番茄 ㄧ般,48.4,37.5,24.3,37.0,1050
099/04/23,71 小番茄 ㄧ般,45.5,29.3,17.5,30.2,1022
099/04/24,71 小番茄 ㄧ般,52.0,38.6,16.8,36.9,464
099/04/25,71 小番茄 ㄧ般,57.0,43.1,14.4,40.2,548
099/04/27,71 小番茄 ㄧ般,51.9,31.4,18.8,33.0,1778
099/04/28,71 小番茄 ㄧ般,47.7,35.6,19.5,34.8,1256
099/04/29,71 小番茄 ㄧ般,50.0,40.4,20.0,38.2,944
099/04/30,71 小番茄 ㄧ般,56.0,53.2,30.6,49.2,562
099/05/01,71 小番茄 ㄧ般,53.0,49.7,29.9,46.4,898
099/05/02,71 小番茄 ㄧ般,53.4,36.3,20.0,36.4,1140
099/05/04,71 小番茄 ㄧ般,51.8,37.0,19.5,36.5,1096
099/05/05,71 小番茄 ㄧ般,53.2,33.0,20.8,34.6,900
099/05/06,71 小番茄 ㄧ般,48.6,28.5,15.4,29.9,970
099/05/07,71 小番茄 ㄧ般,47.4,33.5,17.7,33.1,841
099/05/08,71 小番茄 ㄧ般,48.5,28.9,17.4,30.6,1264
099/05/09,71 小番茄 ㄧ般,44.5,29.4,20.0,30.5,1352
099/05/11,71 小番茄 ㄧ般,50.0,30.0,20.0,32.0,860
099/05/12,71 小番茄 ㄧ般,52.0,32.5,19.1,33.7,980
099/05/13,71 小番茄 ㄧ般,38.0,24.7,16.6,25.7,1084
